"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2021","2,065.95","2,103.85","2,112.64","2,045.58","-","-1.51%"
"Jun 24, 2021","2,097.71","2,087.03","2,110.26","2,080.80","-","1.25%"
"Jun 23, 2021","2,071.86","2,084.54","2,105.77","2,065.48","-","0.80%"
"Jun 22, 2021","2,055.36","2,050.53","2,077.61","2,031.05","-","0.27%"
"Jun 21, 2021","2,049.73","2,032.66","2,060.15","2,025.90","-","0.53%"
"Jun 18, 2021","2,038.90","2,044.07","2,055.85","2,007.66","-","0.21%"
"Jun 17, 2021","2,034.67","2,037.67","2,068.12","2,024.67","-","-1.15%"
"Jun 16, 2021","2,058.25","2,061.10","2,080.15","2,018.85","-","0.42%"
"Jun 15, 2021","2,049.54","2,052.42","2,066.90","2,032.74","-","-0.56%"
"Jun 14, 2021","2,061.03","2,041.17","2,078.07","2,040.76","-","1.72%"
"Jun 11, 2021","2,026.15","2,042.98","2,052.80","2,012.46","-","-1.27%"
"Jun 10, 2021","2,052.27","2,063.93","2,072.74","2,039.06","-","-0.34%"
"Jun 09, 2021","2,059.17","2,064.21","2,072.94","2,049.68","-","-0.15%"
"Jun 08, 2021","2,062.31","2,070.48","2,085.21","2,049.04","-","-0.41%"
"Jun 07, 2021","2,070.90","2,060.12","2,086.01","2,043.73","-","0.64%"
"Jun 04, 2021","2,057.68","2,053.00","2,071.26","2,038.94","-","0.40%"
"Jun 03, 2021","2,049.58","2,049.58","2,049.58","2,049.58","-","0.34%"
"Jun 02, 2021","2,042.64","1,993.62","2,050.04","1,986.54","-","2.41%"
"Jun 01, 2021","1,994.62","1,960.00","2,001.78","1,958.29","-","3.24%"
"May 31, 2021","1,932.04","1,929.26","1,944.36","1,917.85","-","0.18%"
"May 28, 2021","1,928.60","1,897.20","1,935.56","1,896.86","-","1.86%"
"May 27, 2021","1,893.38","1,878.10","1,900.13","1,874.20","-","1.09%"
"May 26, 2021","1,872.92","1,852.83","1,882.24","1,852.02","-","0.92%"
"May 25, 2021","1,855.84","1,879.43","1,889.50","1,839.76","-","-1.04%"
