Date,Price,Open,High,Low
2021-06-25,2543.07,2540.8,2543.67,2531.31
2021-06-24,2539.96,2546.25,2546.25,2535.6
2021-06-23,2534.02,2538.95,2541.29,2532.01
2021-06-22,2538.78,2535.97,2545.23,2529.01
2021-06-21,2533.98,2522.03,2543.8,2517.64
2021-06-18,2515.21,2517.23,2531.9,2513.18
2021-06-17,2533.98,2541.94,2546.55,2526.25
2021-06-16,2541.92,2540.49,2550.09,2536.16
2021-06-15,2540.87,2530.64,2545.36,2530.64
2021-06-14,2530.41,2521.08,2531.68,2520.28
2021-06-11,2524.91,2521.47,2526.96,2517.18
2021-06-10,2513.59,2518.38,2519.27,2504.61
2021-06-09,2508.99,2515.1,2515.1,2503.88
2021-06-08,2518.74,2518.08,2524.47,2511.74
2021-06-07,2515.79,2521.56,2521.56,2510.57
2021-06-04,2516.12,2516.64,2519.68,2509.64
2021-06-03,2505.22,2501.72,2514.51,2500.37
2021-06-02,2508.0,2516.2,2516.98,2504.38
2021-06-01,2509.21,2505.1,2515.33,2501.43
2021-05-31,2476.97,2502.64,2502.64,2473.52
2021-05-28,2495.51,2502.31,2502.67,2493.92
2021-05-27,2485.67,2484.02,2493.87,2484.02
2021-05-26,2482.11,2472.03,2485.07,2468.05
2021-05-25,2459.32,2471.21,2474.55,2457.94
2021-05-21,2453.63,2464.0,2464.5,2451.5
2021-05-20,2456.03,2441.33,2461.13,2438.69
2021-05-19,2439.64,2425.66,2443.15,2415.27
2021-05-18,2450.92,2447.52,2457.35,2439.51
2021-05-17,2447.83,2432.0,2448.25,2428.33
2021-05-14,2435.29,2415.62,2438.73,2415.62
2021-05-13,2407.76,2404.24,2414.24,2398.5
2021-05-12,2401.91,2411.06,2418.54,2396.57
2021-05-11,2418.87,2401.75,2422.2,2396.91
2021-05-10,2430.14,2446.33,2450.37,2430.14
2021-05-07,2441.97,2422.7,2444.36,2421.6
2021-05-06,2419.36,2419.08,2422.27,2404.98
2021-05-05,2421.05,2407.35,2425.0,2407.35
2021-05-04,2404.5,2406.22,2408.35,2386.98
2021-05-03,2406.08,2399.65,2415.87,2399.65
2021-04-30,2395.55,2400.0,2409.98,2392.49
2021-04-29,2415.6,2435.83,2440.16,2411.9
2021-04-28,2428.47,2413.05,2434.87,2411.42
2021-04-27,2404.8,2405.02,2413.33,2397.07
2021-04-26,2403.44,2396.84,2405.73,2394.59
2021-04-23,2393.08,2389.43,2396.24,2383.74
2021-04-22,2383.83,2396.29,2396.29,2378.77
2021-04-21,2398.54,2384.7,2400.43,2384.36
2021-04-20,2386.15,2393.81,2397.56,2377.61
2021-04-19,2409.1,2426.01,2430.73,2405.99
2021-04-16,2427.79,2432.68,2432.68,2421.37
2021-04-15,2424.45,2418.1,2426.66,2414.42
2021-04-14,2406.47,2417.51,2423.54,2405.12
2021-04-13,2409.16,2417.03,2417.28,2407.24
2021-04-12,2410.33,2408.12,2416.84,2403.97
2021-04-09,2410.85,2404.31,2410.87,2400.95
2021-04-08,2410.17,2403.33,2410.17,2393.49
2021-04-07,2400.65,2397.71,2406.48,2396.79
2021-04-06,2395.57,2394.14,2403.05,2391.16
2021-04-05,2387.94,2388.01,2394.38,2386.65
2021-04-01,2382.62,2359.02,2383.13,2355.95
2021-03-31,2348.19,2350.64,2359.31,2345.84
2021-03-30,2349.9,2343.72,2353.67,2338.83
2021-03-29,2351.78,2347.38,2357.14,2338.37
2021-03-26,2354.38,2345.77,2355.2,2333.99
2021-03-25,2341.56,2330.78,2344.77,2318.9
2021-03-24,2339.21,2352.56,2359.67,2339.06
2021-03-23,2342.99,2355.86,2360.65,2339.12
2021-03-22,2358.13,2361.11,2362.25,2352.36
2021-03-19,2364.15,2363.07,2367.89,2348.08
2021-03-18,2363.6,2377.69,2382.39,2360.62
2021-03-17,2380.62,2365.94,2387.39,2359.6
2021-03-16,2365.86,2374.68,2375.32,2363.34
2021-03-15,2374.89,2361.35,2376.07,2355.81
2021-03-12,2360.51,2356.8,2361.03,2344.65
2021-03-11,2359.22,2352.49,2364.37,2350.6
2021-03-10,2339.4,2338.4,2348.44,2328.72
2021-03-09,2327.7,2326.4,2342.97,2321.98
2021-03-08,2311.86,2305.81,2330.63,2300.9
2021-03-05,2302.75,2285.98,2305.94,2255.79
2021-03-04,2269.75,2288.64,2298.38,2248.25
2021-03-03,2293.36,2306.54,2309.22,2285.98
2021-03-02,2307.51,2291.81,2311.26,2290.5
2021-03-01,2290.6,2280.42,2298.37,2280.42
2021-02-26,2258.8,2274.86,2280.32,2243.9
2021-02-25,2281.22,2311.56,2319.14,2271.48
2021-02-24,2312.86,2290.58,2323.52,2282.51
