Date,Price,Open,High,Low
2021-06-25,14345.18,14396.63,14401.71,14324.26
2021-06-24,14365.96,14358.3,14429.14,14337.65
2021-06-23,14274.24,14275.09,14324.74,14247.58
2021-06-22,14270.42,14140.29,14288.49,14128.01
2021-06-21,14137.23,14055.04,14150.91,13967.89
2021-06-18,14049.58,14125.12,14140.62,14024.61
2021-06-17,14163.81,13946.7,14205.43,13946.52
2021-06-16,13983.01,14053.12,14100.11,13843.6
2021-06-15,14030.41,14120.81,14126.25,14008.93
2021-06-14,14128.2,14002.14,14129.33,13963.94
2021-06-11,13998.3,13959.47,13998.65,13934.0
2021-06-10,13960.35,13834.26,13962.99,13817.83
2021-06-09,13814.94,13865.51,13900.71,13811.05
2021-06-08,13810.86,13873.46,13913.4,13746.42
2021-06-07,13802.89,13744.15,13808.42,13710.11
2021-06-04,13770.78,13619.79,13784.77,13613.58
2021-06-03,13529.68,13568.91,13608.54,13469.85
2021-06-02,13675.79,13655.71,13712.68,13610.16
2021-06-01,13654.59,13764.27,13773.45,13602.12
2021-05-28,13686.51,13717.0,13765.8,13684.83
2021-05-27,13657.85,13686.87,13724.76,13652.13
2021-05-26,13702.74,13687.71,13726.06,13661.06
2021-05-25,13657.73,13701.3,13734.41,13614.54
2021-05-24,13641.75,13504.39,13687.61,13500.12
2021-05-21,13411.74,13573.22,13573.84,13401.53
2021-05-20,13494.09,13294.59,13526.01,13293.1
2021-05-19,13237.91,12998.53,13243.97,12994.35
2021-05-18,13217.68,13352.26,13400.52,13212.85
2021-05-17,13312.91,13329.87,13350.14,13196.57
2021-05-14,13393.12,13238.99,13430.0,13220.18
2021-05-13,13109.15,13133.73,13226.64,13006.77
2021-05-12,13001.63,13155.07,13236.89,12967.18
2021-05-11,13351.27,13102.64,13381.66,13094.76
2021-05-10,13359.08,13647.73,13648.49,13358.62
2021-05-07,13719.63,13715.56,13814.66,13669.78
2021-05-06,13613.73,13490.94,13617.33,13403.46
2021-05-05,13503.37,13649.12,13676.86,13478.58
2021-05-04,13544.67,13680.63,13705.38,13396.11
2021-05-03,13799.72,13923.04,13955.0,13784.66
2021-04-30,13860.76,13857.79,13969.21,13838.82
2021-04-29,13970.21,14063.94,14073.48,13836.1
2021-04-28,13901.62,13953.61,13992.08,13895.15
2021-04-27,13960.28,14048.13,14048.34,13931.18
2021-04-26,14026.16,13954.94,14039.4,13919.93
2021-04-23,13941.44,13794.49,13989.43,13789.45
2021-04-22,13762.36,13920.88,13954.03,13716.76
2021-04-21,13935.15,13768.92,13939.7,13717.44
2021-04-20,13809.3,13891.96,13934.89,13730.59
2021-04-19,13907.67,13970.83,14025.64,13835.75
2021-04-16,14041.91,14035.96,14050.38,13966.54
2021-04-15,14026.2,13934.87,14040.11,13931.01
2021-04-14,13803.91,13988.87,13990.54,13782.17
2021-04-13,13986.49,13874.58,14002.53,13874.58
2021-04-12,13819.35,13792.74,13839.39,13747.63
2021-04-09,13845.05,13709.67,13849.31,13674.92
2021-04-08,13758.5,13730.73,13763.18,13703.51
2021-04-07,13616.7,13553.9,13648.8,13532.63
2021-04-06,13578.46,13567.21,13660.29,13551.6
2021-04-05,13598.16,13434.04,13623.6,13420.81
2021-04-01,13329.51,13268.88,13333.41,13255.82
2021-03-31,13091.44,12970.33,13167.06,12966.65
2021-03-30,12896.53,12904.01,12929.46,12798.03
2021-03-29,12965.74,12950.51,13013.47,12836.6
2021-03-26,12979.12,12777.27,12992.3,12721.66
2021-03-25,12780.51,12707.58,12845.66,12627.92
2021-03-24,12798.88,13072.82,13077.49,12797.84
2021-03-23,13017.79,13127.17,13180.66,12993.5
2021-03-22,13086.51,12943.14,13167.46,12943.14
2021-03-19,12866.99,12792.67,12906.02,12704.07
2021-03-18,12789.14,13006.29,13040.36,12781.53
2021-03-17,13202.38,13024.83,13280.29,12950.08
2021-03-16,13152.28,13156.65,13297.48,13091.78
2021-03-15,13082.54,12936.13,13085.01,12885.64
2021-03-12,12937.29,12873.39,12943.58,12778.13
2021-03-11,13052.9,12960.54,13117.87,12920.0
2021-03-10,12752.07,12950.25,12979.38,12726.85
2021-03-09,12794.49,12635.45,12868.52,12592.83
2021-03-08,12299.08,12629.56,12718.58,12287.57
2021-03-05,12668.51,12594.16,12700.96,12208.39
2021-03-04,12464.0,12655.92,12799.08,12314.16
2021-03-03,12683.33,13020.1,13057.29,12679.89
2021-03-02,13059.95,13297.76,13301.62,13052.12
2021-03-01,13282.95,13106.02,13293.78,13051.7
2021-02-26,12909.44,12958.96,13090.36,12764.34
2021-02-25,12828.31,13197.75,13294.56,12773.76
2021-02-24,13302.19,13095.86,13312.42,12971.82
2021-02-23,13194.71,12982.36,13259.85,12758.12
2021-02-22,13223.74,13414.04,13447.37,13220.77
2021-02-19,13580.78,13686.23,13701.69,13545.45
2021-02-18,13637.51,13556.01,13669.94,13477.17
2021-02-17,13699.71,13636.15,13713.14,13552.67
2021-02-16,13773.77,13841.03,13879.78,13726.78
2021-02-12,13807.7,13695.9,13816.25,13656.78
2021-02-11,13734.35,13723.63,13747.2,13637.19
2021-02-10,13655.27,13751.42,13770.91,13531.93
2021-02-09,13687.08,13667.13,13741.79,13664.7
2021-02-08,13695.02,13672.33,13698.41,13607.96
2021-02-05,13603.96,13592.77,13642.96,13527.8
2021-02-04,13560.89,13454.85,13563.13,13406.44
2021-02-03,13402.37,13555.03,13561.45,13400.08
2021-02-02,13456.12,13371.37,13501.23,13363.75
2021-02-01,13248.9,13067.65,13280.22,12983.1
2021-01-29,12925.38,13124.7,13167.87,12845.43
2021-01-28,13201.53,13163.32,13401.85,13150.1
2021-01-27,13112.65,13371.16,13393.51,13034.14
2021-01-26,13490.19,13507.47,13536.3,13440.32
2021-01-25,13483.29,13515.63,13563.7,13205.59
2021-01-22,13366.4,13356.18,13404.77,13336.9
2021-01-21,13404.99,13356.7,13433.69,13297.79
2021-01-20,13296.45,13155.12,13332.26,13138.3
2021-01-19,12996.54,12921.61,13012.09,12861.3
2021-01-15,12803.93,12898.09,12941.29,12758.1
2021-01-14,12898.69,13010.94,13037.05,12886.16
2021-01-13,12973.63,12911.87,13008.84,12878.02
2021-01-12,12892.09,12916.1,12957.43,12783.71
2021-01-11,12902.49,12961.5,13023.21,12883.59
2021-01-08,13105.2,13037.24,13113.09,12939.73
2021-01-07,12939.57,12745.41,12966.68,12744.82
2021-01-06,12623.35,12601.26,12803.29,12569.42
2021-01-05,12802.38,12663.13,12809.67,12663.13
2021-01-04,12694.67,12950.22,12950.22,12537.42
2020-12-31,12888.28,12852.96,12904.09,12804.75
2020-12-30,12845.36,12900.03,12917.46,12828.79
2020-12-29,12843.49,12909.86,12925.53,12816.59
2020-12-28,12838.86,12813.97,12861.91,12747.05
2020-12-24,12711.01,12668.2,12732.55,12665.8
2020-12-23,12653.14,12733.75,12737.59,12649.6
2020-12-22,12717.56,12715.48,12761.23,12606.42
2020-12-21,12690.26,12575.6,12706.44,12474.03
2020-12-18,12738.18,12786.92,12793.47,12611.22
2020-12-17,12752.06,12741.64,12760.97,12685.98
2020-12-16,12668.16,12607.87,12698.11,12568.71
2020-12-15,12595.92,12565.28,12596.84,12467.57
2020-12-14,12462.21,12427.86,12544.31,12426.25
2020-12-11,12375.41,12327.07,12378.61,12236.8
2020-12-10,12401.74,12268.47,12447.85,12226.13
2020-12-09,12364.64,12626.97,12643.24,12311.3
2020-12-08,12635.72,12574.84,12651.35,12504.97
2020-12-07,12596.47,12523.57,12610.0,12523.12
2020-12-04,12528.48,12479.91,12531.21,12450.51
2020-12-03,12467.13,12469.16,12538.92,12445.36
2020-12-02,12456.41,12390.58,12472.25,12318.27
2020-12-01,12455.33,12387.62,12510.02,12338.36
2020-11-30,12268.32,12278.78,12299.61,12090.93
2020-11-27,12258.21,12220.37,12306.71,12214.45
2020-11-25,12152.21,12112.11,12174.99,12081.51
2020-11-24,12079.81,11952.7,12094.16,11878.31
2020-11-23,11905.94,11959.89,12001.83,11817.53
2020-11-20,11906.44,11976.0,12017.42,11903.57
2020-11-19,11985.43,11863.12,12000.29,11842.67
2020-11-18,11894.71,11963.36,12027.15,11892.54
2020-11-17,11977.49,12030.27,12047.13,11964.2
2020-11-16,12013.38,11925.36,12035.5,11891.85
2020-11-13,11937.84,11910.62,11957.09,11808.95
2020-11-12,11827.14,11924.15,11976.89,11786.09
2020-11-11,11892.93,11734.82,11904.13,11714.32
2020-11-10,11624.29,11704.46,11761.95,11512.46
2020-11-09,11830.38,12194.71,12268.66,11818.24
2020-11-06,12091.35,12044.29,12116.91,11895.5
2020-11-05,12078.07,12021.77,12117.04,11977.07
2020-11-04,11777.02,11627.76,11846.46,11564.91
2020-11-03,11279.91,11155.84,11356.08,11115.55
2020-11-02,11084.76,11152.48,11222.52,10957.11
2020-10-30,11052.95,11265.7,11293.76,10960.02
2020-10-29,11350.74,11214.33,11467.37,11187.08
2020-10-28,11142.76,11400.47,11426.1,11136.1
2020-10-27,11598.95,11560.86,11633.49,11503.1
2020-10-26,11504.52,11584.17,11708.08,11360.73
2020-10-23,11692.57,11680.72,11693.01,11569.09
2020-10-22,11662.91,11712.64,11739.22,11529.73
2020-10-21,11665.37,11686.19,11789.46,11646.47
2020-10-20,11677.84,11679.08,11801.39,11613.76
2020-10-19,11634.35,11913.01,11962.46,11606.48
2020-10-16,11852.17,11952.12,12034.13,11824.14
2020-10-15,11898.57,11767.28,11928.63,11765.49
2020-10-14,11985.36,12105.1,12159.21,11913.57
2020-10-13,12083.17,12131.07,12187.78,12032.75
2020-10-12,12088.11,11900.12,12204.75,11880.23
2020-10-09,11725.85,11615.57,11727.6,11600.86
2020-10-08,11550.94,11576.44,11582.78,11510.24
2020-10-07,11503.19,11412.65,11519.55,11382.49
2020-10-06,11291.27,11476.67,11536.42,11256.26
2020-10-05,11509.06,11345.24,11512.06,11336.07
2020-10-02,11255.69,11328.86,11479.08,11225.17
2020-10-01,11583.2,11554.96,11606.73,11488.59
2020-09-30,11418.06,11328.55,11535.01,11328.55
2020-09-29,11322.95,11354.7,11396.22,11305.79
2020-09-28,11364.45,11332.32,11369.4,11243.24
2020-09-25,11151.13,10910.5,11177.74,10851.68
2020-09-24,10896.47,10746.35,11026.43,10728.41
2020-09-23,10833.33,11167.22,11179.59,10806.05
2020-09-22,11186.37,11082.09,11207.08,10943.26
2020-09-21,10980.22,10768.01,10984.76,10677.85
2020-09-18,10936.98,11147.8,11153.97,10769.39
2020-09-17,11080.95,10965.74,11160.04,10936.8
2020-09-16,11247.6,11467.9,11486.09,11242.96
2020-09-15,11438.87,11432.94,11495.4,11367.2
2020-09-14,11277.76,11250.8,11363.25,11192.82
2020-09-11,11087.4,11251.19,11280.41,10945.22
2020-09-10,11154.12,11501.43,11566.34,11095.94
2020-09-09,11395.85,11308.25,11480.37,11197.13
2020-09-08,11068.26,11143.91,11400.46,11055.16
2020-09-04,11622.13,11686.24,11846.18,11145.99
2020-09-03,11771.37,12195.75,12235.0,11662.11
2020-09-02,12420.54,12417.45,12439.48,12176.18
2020-09-01,12292.86,12203.36,12300.44,12132.78
2020-08-31,12110.7,12017.46,12167.46,12000.11
2020-08-28,11995.86,11992.68,12018.14,11928.69
2020-08-27,11926.16,11997.89,12047.99,11842.84
2020-08-26,11971.94,11779.35,11979.65,11768.0
