"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2021","5,209.51","5,229.40","5,244.01","5,181.80","-","1.28%"
"Jun 24, 2021","5,143.50","5,124.77","5,222.16","5,101.74","-","1.88%"
"Jun 23, 2021","5,048.41","5,071.84","5,122.16","5,048.41","-","1.45%"
"Jun 22, 2021","4,976.35","5,005.71","5,054.09","4,957.32","-","-0.45%"
"Jun 21, 2021","4,998.86","5,018.66","5,049.87","4,988.42","-","0.36%"
"Jun 18, 2021","4,981.17","5,005.87","5,022.84","4,926.81","-","-1.06%"
"Jun 17, 2021","5,034.52","5,069.13","5,106.53","5,005.00","-","-2.16%"
"Jun 16, 2021","5,145.87","5,205.21","5,205.21","5,082.56","-","-0.84%"
"Jun 15, 2021","5,189.71","5,241.92","5,241.92","5,163.47","-","-1.23%"
"Jun 14, 2021","5,254.26","5,293.63","5,294.80","5,241.97","-","-0.82%"
"Jun 11, 2021","5,297.84","5,311.12","5,334.10","5,271.90","-","0.18%"
"Jun 10, 2021","5,288.34","5,282.76","5,327.10","5,280.28","-","-0.27%"
"Jun 09, 2021","5,302.55","5,314.26","5,314.26","5,261.81","-","0.54%"
"Jun 08, 2021","5,274.02","5,325.36","5,330.47","5,250.94","-","-1.16%"
"Jun 07, 2021","5,335.86","5,236.04","5,357.16","5,236.04","-","2.93%"
"Jun 04, 2021","5,183.81","5,187.99","5,206.79","5,160.91","-","0.18%"
"Jun 03, 2021","5,174.36","5,186.29","5,186.29","5,112.94","-","-0.75%"
"Jun 02, 2021","5,213.43","5,209.70","5,251.26","5,207.21","-","-0.27%"
"Jun 01, 2021","5,227.77","5,239.95","5,263.05","5,195.29","-","-0.38%"
"May 31, 2021","5,247.84","5,152.74","5,263.55","5,146.54","-","2.06%"
"May 28, 2021","5,141.82","5,102.48","5,158.11","5,068.93","-","1.00%"
"May 27, 2021","5,090.69","5,057.08","5,098.24","5,050.06","-","0.64%"
"May 26, 2021","5,058.20","5,017.31","5,068.07","5,017.31","-","0.65%"
"May 25, 2021","5,025.78","5,105.14","5,105.14","5,015.84","-","-1.43%"
"May 24, 2021","5,098.62","5,125.32","5,126.68","5,079.87","-","-0.27%"
"May 21, 2021","5,112.42","5,152.73","5,155.64","5,054.91","-","-0.63%"
"May 20, 2021","5,144.98","5,100.48","5,155.48","5,065.49","-","0.78%"
"May 19, 2021","5,105.03","5,096.93","5,112.38","5,036.48","-","-0.97%"
"May 18, 2021","5,154.98","5,120.90","5,162.72","5,116.47","-","0.95%"
"May 17, 2021","5,106.59","5,066.67","5,115.88","5,063.12","-","0.59%"
"May 14, 2021","5,076.61","5,054.47","5,097.75","5,054.47","-","1.96%"
"May 13, 2021","4,978.80","4,970.61","5,041.86","4,962.13","-","-0.09%"
"May 12, 2021","4,983.15","5,067.53","5,075.24","4,951.84","-","-2.67%"
"May 11, 2021","5,119.75","5,100.92","5,119.75","5,059.05","-","-0.45%"
"May 10, 2021","5,142.87","5,090.95","5,165.18","5,090.95","-","1.35%"
"May 07, 2021","5,074.20","5,028.58","5,091.30","5,020.13","-","2.16%"
"May 06, 2021","4,966.93","4,904.98","4,999.72","4,894.81","-","1.27%"
"May 05, 2021","4,904.49","4,912.61","4,946.02","4,879.75","-","0.36%"
"May 04, 2021","4,886.86","4,900.52","4,903.78","4,856.63","-","-0.57%"
"May 03, 2021","4,914.92","4,867.02","4,932.23","4,866.83","-","0.91%"
"Apr 30, 2021","4,870.63","4,981.25","4,995.13","4,843.73","-","-2.38%"
"Apr 29, 2021","4,989.41","4,988.76","5,031.24","4,977.82","-","0.27%"
"Apr 28, 2021","4,976.05","5,014.55","5,018.87","4,976.05","-","-0.81%"
"Apr 27, 2021","5,016.74","5,043.48","5,080.24","4,991.70","-","-0.94%"
"Apr 26, 2021","5,064.33","5,099.75","5,101.55","5,042.87","-","0.04%"
"Apr 23, 2021","5,062.33","5,082.60","5,100.21","5,037.42","-","-0.22%"
"Apr 22, 2021","5,073.69","5,062.39","5,073.69","5,028.14","-","0.38%"
"Apr 21, 2021","5,054.33","5,006.14","5,068.58","5,005.18","-","0.52%"
"Apr 20, 2021","5,028.15","4,971.27","5,028.15","4,948.13","-","0.69%"
"Apr 19, 2021","4,993.45","5,050.86","5,057.40","4,980.70","-","-0.93%"
"Apr 16, 2021","5,040.38","5,000.25","5,064.13","4,990.56","-","0.49%"
"Apr 15, 2021","5,015.93","4,970.59","5,027.29","4,968.65","-","1.16%"
"Apr 14, 2021","4,958.59","4,918.80","4,965.79","4,899.21","-","1.89%"
"Apr 13, 2021","4,866.65","4,836.85","4,875.78","4,819.66","-","0.21%"
