"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2021","1,431.68","1,435.90","1,446.99","1,428.73","-","-0.27%"
"Jun 24, 2021","1,435.55","1,429.17","1,438.66","1,423.11","-","0.46%"
"Jun 23, 2021","1,428.98","1,420.90","1,436.35","1,420.90","-","0.65%"
"Jun 22, 2021","1,419.80","1,433.98","1,435.45","1,416.93","-","-0.96%"
"Jun 21, 2021","1,433.49","1,441.12","1,441.58","1,429.89","-","-0.72%"
"Jun 18, 2021","1,443.93","1,458.33","1,463.69","1,442.78","-","-0.94%"
"Jun 17, 2021","1,457.63","1,470.62","1,474.93","1,453.92","-","-0.98%"
"Jun 15, 2021","1,472.11","1,485.80","1,490.68","1,465.85","-","-0.92%"
"Jun 14, 2021","1,485.78","1,480.57","1,494.19","1,478.69","-","0.33%"
"Jun 11, 2021","1,480.82","1,486.96","1,494.33","1,474.21","-","-0.36%"
"Jun 10, 2021","1,486.13","1,487.85","1,491.94","1,481.72","-","-0.11%"
"Jun 09, 2021","1,487.82","1,478.35","1,489.63","1,476.14","-","0.62%"
"Jun 08, 2021","1,478.58","1,487.18","1,493.25","1,478.19","-","-0.58%"
"Jun 07, 2021","1,487.15","1,497.99","1,497.99","1,481.58","-","-0.72%"
"Jun 04, 2021","1,497.89","1,496.63","1,507.55","1,487.81","-","-0.12%"
"Jun 03, 2021","1,499.69","1,523.92","1,523.92","1,494.19","-","-1.61%"
"Jun 02, 2021","1,524.24","1,515.59","1,527.36","1,515.59","-","0.56%"
"Jun 01, 2021","1,515.82","1,510.07","1,525.29","1,502.92","-","0.75%"
"May 31, 2021","1,504.54","1,490.55","1,507.71","1,490.53","-","0.94%"
"May 28, 2021","1,490.54","1,473.65","1,495.78","1,470.02","-","1.19%"
"May 27, 2021","1,473.03","1,463.04","1,475.75","1,462.30","-","0.46%"
"May 26, 2021","1,466.34","1,469.17","1,475.28","1,465.06","-","-0.10%"
"May 25, 2021","1,467.84","1,454.92","1,481.22","1,454.92","-","0.88%"
"May 24, 2021","1,455.00","1,460.98","1,468.30","1,455.00","-","-0.57%"
"May 21, 2021","1,463.35","1,469.33","1,475.12","1,458.13","-","-0.40%"
"May 20, 2021","1,469.23","1,459.27","1,478.10","1,457.66","-","0.68%"
"May 19, 2021","1,459.27","1,476.08","1,477.10","1,455.05","-","-1.14%"
"May 18, 2021","1,476.09","1,475.96","1,486.44","1,468.75","-","0.03%"
"May 17, 2021","1,475.65","1,470.71","1,479.56","1,463.14","-","1.13%"
"May 14, 2021","1,459.13","1,448.21","1,461.30","1,448.21","-","0.89%"
"May 13, 2021","1,446.28","1,473.75","1,473.75","1,436.62","-","-1.90%"
"May 12, 2021","1,474.30","1,479.71","1,511.50","1,474.30","-","-0.34%"
"May 11, 2021","1,479.28","1,498.67","1,499.02","1,473.59","-","-1.37%"
"May 10, 2021","1,499.87","1,513.75","1,519.59","1,498.60","-","-0.95%"
"May 07, 2021","1,514.25","1,495.85","1,519.22","1,491.59","-","1.22%"
"May 06, 2021","1,495.96","1,477.74","1,496.53","1,475.74","-","1.05%"
"May 05, 2021","1,480.37","1,463.38","1,483.45","1,463.38","-","1.26%"
"May 04, 2021","1,461.91","1,476.87","1,485.80","1,456.37","-","-1.05%"
"May 03, 2021","1,477.36","1,485.11","1,491.81","1,471.02","-","-0.51%"
"Apr 30, 2021","1,484.97","1,503.89","1,504.77","1,480.75","-","-1.26%"
"Apr 29, 2021","1,503.87","1,512.74","1,528.53","1,502.83","-","-0.51%"
"Apr 28, 2021","1,511.62","1,507.46","1,520.38","1,504.82","-","0.27%"
"Apr 26, 2021","1,507.62","1,511.18","1,513.13","1,502.76","-","-0.23%"
"Apr 23, 2021","1,511.03","1,507.50","1,511.03","1,498.82","-","0.17%"
"Apr 22, 2021","1,508.54","1,515.97","1,525.36","1,505.62","-","-0.48%"
"Apr 21, 2021","1,515.88","1,509.42","1,515.88","1,492.03","-","0.54%"
"Apr 20, 2021","1,507.74","1,533.46","1,533.46","1,504.29","-","-1.66%"
"Apr 19, 2021","1,533.15","1,552.16","1,556.08","1,532.40","-","-1.19%"
"Apr 16, 2021","1,551.64","1,535.98","1,553.98","1,535.98","-","1.03%"
"Apr 15, 2021","1,535.75","1,529.57","1,536.54","1,525.91","-","0.44%"
"Apr 14, 2021","1,529.08","1,520.37","1,533.60","1,518.97","-","0.56%"
"Apr 13, 2021","1,520.50","1,497.20","1,522.41","1,493.44","-","1.53%"
"Apr 12, 2021","1,497.56","1,517.45","1,517.45","1,495.81","-","-1.29%"
"Apr 09, 2021","1,517.13","1,521.12","1,521.12","1,510.38","-","-0.26%"
"Apr 08, 2021","1,521.06","1,525.35","1,545.50","1,517.44","-","-0.18%"
